"資料集提供機關","資料集名稱","瀏覽次數","下載次數","資料集評分"
"教育部國民及學前教育署","教育部國民及學前教育署月報(102-103年度)","1268","161",""
"教育部國民及學前教育署","國立高級中等學校校務基金預算(98-104年度)","988","275","5.0"
"財政部國庫署","國庫集中支付業務-歷年各項作業統計與分析表","848","36",""
"教育部國民及學前教育署","國立高級中等學校校務基金決算(98-102年度)","999","139",""
"教育部國民及學前教育署","國立高級中等學校校務基金月報(101-103年度)","979","68","4.0"
"經濟部加工出口區管理處","加工出口區管理處-年度單位預算","829","269",""
"科技部新竹科學工業園區管理局","新竹科學工業園區管理局及所屬單位預算(法定)","1715","254",""
"國史館","國史館104年度預算書","1268","275","5.0"
"財政部國庫署","中央公債還本付息概況表","966","40",""
"財政部國庫署","中央政府各年度債務舉借概況","1209","48","2.0"
"行政院農業委員會","103年度行政院農業委員會花蓮區農業改良場單位決算","771","58",""
"科技部南部科學工業園區管理局","南部科學工業園區管理局及所屬單位預算","1478","74",""
"經濟部中小企業處","經濟部中小企業處_地方產業發展基金預算","1344","77",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局及所屬單位預算預算表(預算案)","1151","50",""
"教育部國民及學前教育署","104年度教育部國民及學前教育署單位預算","1008","70",""
"行政院農業委員會","行政院農業委員會農業藥物毒物試驗所104年度法定預算","632","41","5.0"
"財政部國庫署","中央政府在台發行公債概況表","773","39",""
"財政部國庫署","中央政府近期公共債務概況表","1472","123",""
"財政部國庫署","中央統籌分配稅款撥付及墊借地方歸扣情形表","1020","35",""
"財政部國庫署","中央統籌分配稅款收入情形估測表","998","52",""
"經濟部投資審議委員會","經濟部投資審議委員會單位預算","1063","89",""
"行政院原子能委員會核能研究所","行政院原子能委員會核能研究所單位預算案與法定預算","1545","179",""
"行政院農業委員會","103年度行政院農業委員會茶業改良場單位預算","1113","52",""
"經濟部","經濟部單位預算","2337","520",""
"行政院原子能委員會","核一廠1號機EOC-27大修燃料水棒連接桿斷開處理專案報告","1581","97",""
"經濟部","經濟部基金預算","1577","190",""
"國家教育研究院","國家教育研究院104年度法定預算","1172","70",""
"外交部","外交部104年度法定預算","1603","129",""
"經濟部國際貿易局","經濟部國際貿易局及所屬單位預算","1690","219",""
"行政院原子能委員會","104年1月5日核一廠1號機第27次大修燃料挪移作業說明會議紀錄","1047","61",""
"行政院原子能委員會","104年1月16日核一廠1號機第27次大修燃料檢修作業說明會議紀錄","984","44",""
"行政院原子能委員會","104年1月28日核一廠1號機第27次大修燃料吊運作業說明會議紀錄","1090","50",""
"行政院原子能委員會","104年2月12日核一廠燃料水棒異常處理專案報告說明會議紀錄","1079","62",""
"行政院原子能委員會","104年2月26日核一廠燃料水棒連接桿異常肇因分析審查會議紀錄","1160","63",""
"經濟部","經濟部單位決算","1524","147","3.0"
"行政院農業委員會","104年度行政院農業委員會漁業署及所屬單位預算","964","68",""
"行政院農業委員會","104年度行政院農業委員會單位預算","1393","139","5.0"
"行政院農業委員會","104年度行政院農業委員會畜產試驗所單位預算","1378","111",""
"行政院農業委員會","104年度行政院農業委員會臺東區農業改良場單位預算","948","110",""
"經濟部","經濟部基金決算","1463","123",""
"財政部國庫署","中央統籌分配稅款收支月報表","696","34",""
"財政部國庫署","公益彩券盈餘分配辦理社會福利事業情形彙總表","863","34",""
"經濟部加工出口區管理處","加工出口區管理處-作業基金預算","921","160",""
"教育部體育署","104年度體育署法定預算","1273","78","5.0"
"經濟部工業局","經濟部工業局單位預算","1891","188",""
"經濟部工業局","產業園區開發管理基金預算","1214","113",""
"警政署","歷史交通事故資料","8111","1592","4.83333320618"
"行政院人事行政總處","人事工作簡化與建置人事資訊系統之研究","702","52",""
"行政院人事行政總處","主管機關人事機構業務績效評核管理運用機制之研究","875","24",""
"行政院人事行政總處","軍公教人員俸給以外其他給與法制化型態之研究","1243","82",""
"行政院人事行政總處","我國公共建設政策規劃缺失與改進探討之研究","1052","89",""
"行政院人事行政總處","建構政府機關數位學習服務機制之研究","564","37",""
"行政院人事行政總處","中央政府機關跨機關員額總量管理機制之研究","701","45",""
"行政院人事行政總處","我國公務人員待遇制度改進方案之研究","1610","116",""
"行政院人事行政總處","全球化及領導能力研習班訓練成效評估","679","39",""
"行政院人事行政總處","公務人員提繳自提儲金費用自當年度個人綜合所得總額中扣除之可行性及相關配套作法之研究","540","33",""
"行政院人事行政總處","《中華民國國定紀念日與節日法草案》之研擬及其立法效益評估","849","38",""
"行政院人事行政總處","以公私協力觀點規劃新一代退休公務人員長期照護策略之可行性研究","1054","90",""
"行政院人事行政總處","建立總員額管理架構下之人力評鑑制度","605","44",""
"行政院人事行政總處","公部門進用原住民人員之考用情形等相關問題之研究","491","23",""
"行政院人事行政總處","強化我國與國際知名學術機構合作辦理公務人員進修專班之研究","419","25",""
"行政院人事行政總處","性別議題在政府人力資源管理之理論與實務－兼論性別指標之建立與運用","2095","75",""
"行政院人事行政總處","政府契約性用人制度","860","57",""
"行政院人事行政總處","建立我國公部門學習成效評鑑機制之規劃研究","598","35",""
"行政院人事行政總處","公務員借調及兼職制度運作及檢討之研究","962","65",""
"行政院人事行政總處","公部門數位學習評量機制及訓練績效衡量之研究","642","52",""
"行政院人事行政總處","強化績效導向及核心能力評量陞遷制度之研究","701","47",""
"行政院人事行政總處","行政院人事行政總處施政計畫","1348","116",""
"行政院人事行政總處","第四屆行政院所屬及地方人事機構人力資源管理創新獎勵獲獎名單","807","49",""
"行政院農業委員會","104年度行政院農業委員會種苗改良繁殖場單位預算","1136","39",""
"財政部國庫署","公股事業機構董監事名單","1192","100",""
"財政部國庫署","行政院公營事業民營化基金支付移轉民營經費概況表","845","29",""
"科技部中部科學工業園區管理局","中部科學工業園區管理局及所屬單位預算預算表(法定)","1114","102",""
"行政院人事行政總處","OECD行政法人蒐集編譯報告","707","37",""
"行政院人事行政總處","世界各主要國家推動退休公教人員參與志工之現況報告","743","37",""
"財政部國庫署","各年度國產及進口鼻菸、嚼菸及其他菸品數量表","929","86",""
"財政部國庫署","各年度國產及進口其他釀造酒類數量表","1059","69","2.0"
"財政部國庫署","各年度國產及進口酒精類數量表","1141","112",""
"財政部國庫署","各年度國產及進口威士忌數量表","1994","103","1.0"
"行政院人事行政總處","各國中高階公務人員培訓策略","600","27",""
"行政院人事行政總處","策略性人力資源管理結案報告","927","57",""
"行政院人事行政總處","建構能力導向政府人力資源管理制度具體策略之研究","1170","58",""
"教育部會計處","104年度教育部預算案","1486","96",""
"臺灣高等法院檢察署","臺灣高等法院檢察署年度法定預算(按年)","892","109",""
"行政院人事行政總處","行政法人制度推動誘因及其成效之研究","961","67",""
"行政院人事行政總處","社會福利機構公辦民營後滿意度之研究","702","56",""
"行政院人事行政總處","高級文官管理能力評核與培訓制度之研究","886","37",""
"教育部會計處","104年度教育部法定預算","1401","102",""
"經濟部貿易調查委員會","經濟部貿易調查委員會單位預算","1479","103",""
"臺灣高等法院臺南分院","臺灣高等法院臺南分院104年度單位預算案","1085","51",""
"行政院人事行政總處","如何避免政府改造實施優退精簡措施產生反淘汰現象之研究","750","37",""
"臺中高等行政法院","臺中高等行政法院104年度單位預算案書","1092","137",""
"行政院人事行政總處","公部門策略待遇之研究","864","49",""
"臺灣高等法院檢察署","臺灣高等法院檢察署智慧財產分署年度法定預算(按年)","900","52",""
"行政院人事行政總處","軍公教邊際性福利措施合理性之研究","1027","36",""
"行政院人事行政總處","建置績效管理制度資訊系統作業平台之可行性研究","563","32",""
"臺灣高等法院臺南分院","臺灣高等法院臺南分院104年度法定預算書","976","34",""
"行政院人事行政總處","公務人員退休制度改為85制後之影響","602","47",""
"行政院人事行政總處","OECD主要會員國及大陸地區政府機關員工協助方案(EAP)蒐集編譯報告","1073","54",""
"勞動部勞動基金運用局","勞動部勞動基金運用局單位預算(法定預算)","1252","286",""
"行政院人事行政總處","國內公務人員數位學習需求調查及具體推動策略與步驟","596","40",""
"行政院人事行政總處","中高階女性公務人員培育與陞遷","898","70",""
"行政院人事行政總處","醫事人員進用管理之研究","685","33",""
"行政院人事行政總處","公營廣播電台行政法人可行性之研究","617","40",""
"行政院人事行政總處","公立托兒所公辦民營關鍵成功因素之研究-結案報告","615","37",""
"行政院人事行政總處","彈性導向待遇制度之研究","777","66",""
"行政院人事行政總處","行政機關辦理專案精簡優惠退離措施效益評估","649","35",""
"行政院人事行政總處","我國公部門待遇調整制度之研究","907","53",""
"行政院人事行政總處","行政法人公司治理模式可行性","800","63",""
"行政院人事行政總處","勞工退休基金監理委員會組織型態","577","40",""
"行政院人事行政總處","公務人員忠誠查核制度探討","615","37",""
"行政院人事行政總處","地方行政機關行政法人化適用類型及其可行性","835","83",""
"行政院人事行政總處","簡併公務人員專業加給可行性方案之研究","1079","104",""
"行政院人事行政總處","公務人員陞遷制度研究","1021","39",""
"行政院人事行政總處","委外決策模式、標準化作業程序及契約訂定之研究","570","33",""
"行政院人事行政總處","各機關推動法人化所需訓練之需求評估檔案","550","27",""
"行政院人事行政總處","核心能力指標建立之研究","850","56",""
"行政院人事行政總處","公法人之組織設計與人員任用管理之研究","923","52",""
"行政院人事行政總處","公務人力資本評估模式的建構","779","35",""
"行政院人事行政總處","委外監督機制之研究","1060","58",""
"行政院人事行政總處","公務人力精簡策略之研究","820","44",""
"行政院農業委員會","104年度行政院農業委員會農業試驗所法定預算","806","35",""
"行政院農業委員會","104年度行政院農業委員會臺中區農業改良場單位預算","1492","137",""
"最高行政法院","最高行政法院 -104年度法定預算","1305","88",""
"臺灣省諮議會","臺灣省諮議會園區附近AED位置資訊","1630","123",""
"行政院原子能委員會","104年度行政院原子能委員會預算案書表","1313","77",""
"財政部關務署","財政部關務署及所屬104年度單位預算","1012","144",""
"高雄高等行政法院","高雄高等行政法院104年度單位預算(預算案)","1363","51",""
"行政院原子能委員會","104年度行政院原子能委員會法定預算書表","1149","46",""
"行政院原子能委員會","104年度行政院原子能委員會放射性物料管理局預算案書表","1092","57",""
"行政院原子能委員會","104年度行政院原子能委員會放射性物料管理局法定預算書表","1057","45",""
"行政院原子能委員會","104年度行政院原子能委員會輻射偵測中心預算案書表","1193","52",""
"行政院原子能委員會","104年度行政院原子能委員會輻射偵測中心法定預算書表","994","54",""
"考試院","考試院104年度單位預算案書表","1425","105",""
"行政院農業委員會","行政院農業委員會苗栗區農業改良場104年度法定預算","1226","102",""
"考試院","考試院104年度單位法定預算書表","1281","97",""
"教育部體育署","104年度體育署運動發展基金預算","1417","54",""
"行政院農業委員會","104年度行政院農業委員會水土保持局單位預算","1436","162",""
"經濟部智慧財產局","經濟部智慧財產局_預算案","1024","87",""
"經濟部智慧財產局","經濟部智慧財產局_法定預算","1012","99",""
"中央研究院","中央研究院104年度法定預算","2283","262",""
"經濟部中央地質調查所","經濟部中央地質調查所_單位預算","1196","64",""
"臺灣省諮議會","臺灣省諮議會園區附近郵局ATM位置資訊","1903","155",""
"立法院","立法院104年法定預算","1941","136","1.0"
"國立公共資訊圖書館","國立公共資訊圖書館法定預算","1204","88",""
"臺灣基隆地方法院","臺灣基隆地方法院104年度單位預算案書","1033","69",""
"監察院","監察院104年度法定預算書","1167","65",""
"臺灣高等法院高雄分院","臺灣高等法院高雄分院104年度預算案","1028","62",""
"臺灣花蓮地方法院","公告臺灣花蓮地方法院104年度預算案(xml)","813","28",""
"臺灣高等法院高雄分院","臺灣高等法院高雄分院104年度法定預算","1034","58",""
"臺灣花蓮地方法院","公告臺灣花蓮地方法院104年度單位法定預算(xml)","557","27",""
"最高行政法院","最高行政法院 -104年度預算案","1368","84",""
"台灣自來水股份有限公司","台灣自來水股份有限公司損益預計表","938","97",""
"台灣自來水股份有限公司","台灣自來水股份有限公司盈虧撥補預計表","886","50",""
"外交部","外交部104年度預算案","1568","168",""
"台灣電力股份有限公司","台灣電力公司_預算主要表","2565","310","5.0"
"行政院農業委員會","104年度行政院農業委員會動植物防疫檢疫局單位預算","1933","75",""
"臺灣臺中地方法院","臺灣臺中地方法院104年度預算案","1069","27",""
"臺灣臺中地方法院","臺灣臺中地方法院104年度法定預算","911","34",""
"行政院海岸巡防署","行政院海岸巡防署人才招募","787","41",""
"行政院農業委員會","104年度行政院農業委員會林業試驗所單位預算","1071","49",""
"臺灣高等法院臺中分院","臺灣高等法院臺中分院104年度單位預算案","792","65",""
"臺灣高等法院臺中分院","臺灣高等法院臺中分院104年度單位預算書","973","53",""
"經濟部能源局","經濟部能源局_單位預算","846","97",""
"經濟部能源局","經濟部能源局_經濟特別收入基金附屬單位預算案(石油基金分預算)","927","61",""
"經濟部能源局","經濟部能源局_經濟特別收入基金附屬單位預算案(再生能源發展基金分預算)","1267","71",""
"經濟部能源局","經濟部能源局_經濟特別收入基金附屬單位預算案(能源研究發展基金分預算)","1280","74",""
"行政院農業委員會","行政院農業委員會農業藥物毒物試驗所104年度預算案","1043","22",""
"行政院農業委員會","104年度行政院農業委員會畜產試驗所單位決算","857","49",""
"經濟部礦務局","經濟部礦務局_年度預算案","1266","151","5.0"
"臺灣省政府","臺灣省政府104年度法定預算","1068","156",""
"臺灣南投地方法院","104年度臺灣南投地方法院法定預算書表","1070","35",""
"臺灣基隆地方法院","臺灣基隆地方法院104年度單位預算書","916","51",""
"行政院農業委員會","行政院農業委員會苗栗區農業改良場104年度預算案","1355","45",""
"中國輸出入銀行","中國輸出入銀行104年度附屬單位預算","1030","81",""
"行政院農業委員會","105年度行政院農業委員會高雄區農業改良場會計報告","1014","78",""
"最高法院","最高法院104年度法定預算","1335","53",""
"內政部移民署","各機場、港口入出境人數統計資料","4100","1517","4.33333320618"
"臺灣臺東地方法院","臺灣臺東地方法院104年度單位預算","1071","41",""
"臺北高等行政法院","臺北高等行政法院單位預算","1576","114",""
"高雄高等行政法院","高雄高等行政法院104年度單位預算","1469","75",""
"最高法院","最高法院104年度預算案","1511","51",""
"臺灣高等法院","104年度臺灣高等法院預算案","1587","44",""
"臺灣臺南地方法院","104年度臺灣臺南地方法院法定預算書","1011","68",""
"臺中高等行政法院","臺中高等行政法院104年度單位預算書","1158","39",""
"臺灣彰化地方法院","104年度臺灣彰化地方法院單位預算XML","963","35",""
"臺灣高等法院","104年度臺灣高等法院單位預算","1342","56",""
"行政院農業委員會","104年度行政院農業委員會水產試驗所單位預算","862","56",""
"行政院農業委員會","104年度行政院農業委員會水土保持局單位預算案","1142","50",""
"財政部高雄國稅局","財政部高雄國稅局預算案","1237","152","4.0"
"國立故宮博物院","104年度故宮文物藝術發展基金附屬單位預算","1270","58",""
"國立故宮博物院","104年度國立故宮博物院單位預算","1675","138",""
"衛生福利部中央健康保險署","104年衛生福利部中央健康保險署單位預算(預算案)","852","56","5.0"
"行政院農業委員會","104年度行政院農業委員會臺南區農業改良場單位預算","800","31",""
"國家通訊傳播委員會","國家通訊傳播委員會104年度法定預算","1121","133",""
"財政部高雄國稅局","財政部高雄國稅局單位決算","1341","177",""
"行政院農業委員會","104年度行政院農業委員會茶業改良場單位預算","1023","46",""
"財政部高雄國稅局","財政部高雄國稅局國稅統計年報(近3年度)","1110","141","5.0"
"行政院原子能委員會","104年度核子事故緊急應變基金預算案書表","1260","98",""
"臺灣高等法院檢察署","臺灣高等法院高雄分院檢察署年度法定預算(按年)","1009","52",""
"臺灣高等法院檢察署","臺灣嘉義地方法院檢察署年度法定預算(按年)","1193","42",""
"臺灣高等法院檢察署","臺灣桃園地方法院檢察署年度法定預算(按年)","734","47",""
"臺灣澎湖地方法院","臺灣澎湖地方法院104年法定預算","1279","45",""
"臺灣高等法院檢察署","臺灣宜蘭地方法院檢察署年度法定預算(按年)","694","76",""
"國家文官學院","國家文官學院及所屬104年度單位預算案書表","908","43",""
"臺灣高等法院檢察署","臺灣南投地方法院檢察署年度法定預算(按年)","701","28",""
"臺灣澎湖地方法院","臺灣澎湖地方法院104年單位預算案","1188","29",""
"臺灣高等法院檢察署","臺灣臺中地方法院檢察署年度法定預算(按年)","579","42",""
"中央警察大學","中央警察大學年度法定預算","906","37",""
"國家通訊傳播委員會","國家通訊傳播委員會104年度單位預算案","1182","55",""
"福建連江地方法院","福建連江地方法院104年度預算案","1113","47",""
"福建連江地方法院","福建連江地方法院104年度法定預算","1182","138",""
"臺灣高等法院檢察署","臺灣高等法院臺中分院檢察署年度法定預算(按年)","625","32",""
"國家通訊傳播委員會","有線廣播電視事業發展基金附屬單位預算104年度預算案 ","1246","81",""
"福建高等法院金門分院","福建高等法院金門分院104年度單位預算","1156","50",""
"衛生福利部中央健康保險署","104年度全民健康保險基金預算案","939","51",""
"中央警察大學","中央警察大學年度預算案","986","56",""
"國家文官學院","國家文官學院及所屬104年度單位法定預算書表","1080","44",""
"內政部移民署","移民署年度預算書","1183","107",""
"臺灣高雄地方法院","臺灣高雄地方法院104年度單位預算","1074","130",""
"科技部新竹科學工業園區管理局","新竹科學工業園區管理局及所屬單位預算(預算案)","1478","187",""
"臺灣高等法院檢察署","臺灣新北地方法院檢察署年度法定預算(按年)","581","42",""
"外交部外交及國際事務學院","外交部外交及國際事務學院104年度法定預算","761","39",""
"臺灣士林地方法院","104年度臺灣士林地方法院預算案","1048","34",""
"財政部國有財產署","歷年財政部國有財產署及所屬單位預算","1199","49",""
"臺灣宜蘭地方法院","臺灣宜蘭地方法院104年度預算案(XML)","912","51",""
"臺灣士林地方法院","104年度臺灣士林地方法院法定預算","1152","43",""
"財政部國有財產署","財政部國有財產署及所屬歷年單位預算案","881","36",""
"財政部國有財產署","國有財產開發基金104年度附屬單位預算案","952","53",""
"臺灣宜蘭地方法院","臺灣宜蘭地方法院104年度法定預算(XML)","1009","84",""
"臺灣嘉義地方法院","臺灣嘉義地方法院104年度預算案","730","31",""
"總統府","總統府104年度單位預算案書(XML檔)","1482","250",""
"總統府","總統府104年度單位預算書(XML檔)","1955","269",""
"科技部新竹科學工業園區管理局","科學工業園區管理局作業基金附屬單位預算(預算案)","1983","203","5.0"
"臺灣嘉義地方法院","臺灣嘉義地方法院104年度法定預算","809","39",""
"考選部","104年度考選業務基金預算案","913","31",""
"智慧財產法院","智慧財產法院104年度預算案","1235","69",""
"智慧財產法院","智慧財產法院104年度法定預算","1092","58",""
"福建金門地方法院","福建金門地方法院104年度單位預算","1293","64","5.0"
"行政院人事行政總處地方行政研習中心","行政院人事行政總處地方行政研習中心104年度單位預算案","1068","32",""
"公務人員退休撫卹基金監理委員會","公務人員退撫基金監理委員會104年度法定預算","1318","75",""
"行政院人事行政總處地方行政研習中心","行政院人事行政總處地方行政研習中心104年度法定預算","944","37",""
"交通部公路總局","交通部公路總局法定預算","1459","109",""
"公務人員退休撫卹基金監理委員會","公務人員退撫基金監理委員會104年度單位預算案","1297","69",""
"法務部資訊處","法務部資訊安全行政規則體系表","789","73",""
"考選部","104年度考選部單位預算","945","36",""
"交通部公路總局","交通部公路總局預算案","1675","161",""
"行政院人事行政總處公務人力發展中心","行政院人事行政總處公務人力發展中心104年預算案","1126","86",""
"民用航空局","交通部民用航空局預算及決算書資料","1680","74",""
"消防署","消防署年度預算","1153","69",""
"衛生福利部國家中醫藥研究所","衛生福利部國家中醫藥研究所104年度法定預算","939","49",""
"民用航空局","民航事業作業基金附屬單位104年度分預算案","1518","86",""
"民用航空局","104年度民用航空局單位預算","1771","92",""
"內政部空中勤務總隊","內政部空中勤務總隊年度法定預算","970","81",""
"國史館臺灣文獻館","國史館臺灣文獻館104年度法定預算","952","136",""
"國史館臺灣文獻館","國史館臺灣文獻館104年度預算案","992","83",""
"衛生福利部疾病管制署","衛生福利部疾病管制署104年度法定預算","1250","147",""
"衛生福利部疾病管制署","衛生福利部疾病管制署104年度預算案","1008","134",""
"中央研究院","中央研究院104年度預算案","1765","170",""
"臺灣高等法院花蓮分院","臺灣高等法院花蓮分院104年度預算案及法定預算 ","765","37",""
"臺灣桃園地方法院","臺灣桃園地方法院104年度單位預算案","840","35",""
"臺灣桃園地方法院","臺灣桃園地方法院104年度法定預算","843","33",""
"台灣自來水股份有限公司","台灣自來水股份有限公司現金流量表","1066","74",""
"臺灣新竹地方法院","臺灣新竹地方法院104年度法定預算","917","28",""
"臺灣新竹地方法院","臺灣新竹地方法院104年度預算案","929","34",""
"臺灣苗栗地方法院","臺灣苗栗地方法院104年度法定預算","713","62","5.0"
"臺灣苗栗地方法院","臺灣苗栗地方法院104年度預算案","613","60",""
"臺灣高等法院檢察署","臺灣基隆地方法院檢察署年度法定預算(按年)","901","34",""
"衛生福利部國家中醫藥研究所","衛生福利部國家中醫藥研究所104年度預算案","803","64",""
"臺灣高等法院檢察署","臺灣花蓮地方法院檢察署年度法定預算(按年)","860","32",""
"臺灣高等法院檢察署","臺灣臺北地方法院檢察署年度法定預算(按年)","658","37",""
"臺灣土地銀行股份有限公司","臺灣土地銀行股份有限公司附屬單位預算","1409","328","3.0"
"臺灣高等法院檢察署","臺灣彰化地方法院檢察署年度法定預算(按年)","1027","60","5.0"
"臺灣高等法院檢察署","臺灣高等法院臺南分院檢察署年度法定預算(按年)","718","35",""
"臺灣高等法院檢察署","臺灣臺東地方法院檢察署年度法定預算(按年)","699","50",""
"臺灣省諮議會","臺灣省諮議會104年度法定預算","1182","94",""
"交通部","104年度交通部單位預算案","968","100",""
"國立臺灣科學教育館","國立台灣科學教育館104年度預算案","894","56",""
"衛生福利部疾病管制署","104年度疫苗基金預算案預算書","1419","153",""
"國防部","國防部104年度單位預算","1149","132",""
"臺灣高等法院檢察署","臺灣高雄地方法院檢察署年度法定預算(按年)","532","30",""
"臺灣高等法院檢察署","臺灣臺南地方法院檢察署年度法定預算(按年)","948","44",""
"臺灣高等法院檢察署","臺灣高等法院檢察署年度預算案(按年)","701","45",""
"臺灣高等法院檢察署","臺灣高等法院檢察署智慧財產分署年度預算案(按年)","682","57",""
"臺灣高等法院檢察署","臺灣高等法院高雄分院檢察署年度預算案(按年)","1088","48",""
"行政院農業委員會","104年度行政院農業委員會高雄區農業改良場單位決算","810","30",""
"國家通訊傳播委員會","通訊傳播監督管理基金附屬單位預算104年度預算案","882","50",""
"臺灣高等法院檢察署","臺灣臺中地方法院檢察署年度預算案(按年)","652","35",""
"臺灣高等法院檢察署","臺灣新北地方法院檢察署年度預算案(按年)","581","57",""
"臺灣高等法院檢察署","臺灣高等法院臺南分院檢察署年度預算案(按年)","765","57",""
"臺灣高等法院檢察署","臺灣高等法院臺中分院檢察署年度預算案(按年)","1037","55",""
"臺灣高等法院檢察署","臺灣基隆地方法院檢察署年度預算案(按年)","823","61",""
"衛生福利部會計處","衛生福利部104年度法定預算","1798","99",""
"臺灣高等法院檢察署","臺灣宜蘭地方法院檢察署年度預算案(按年)","824","56",""
"衛生福利部會計處","衛生福利部104年度預算案","1266","85","2.0"
"公務員懲戒委員會","公務員懲戒委員會104年度單位預算","1671","214",""
"衛生福利部中央健康保險署","104年衛生福利部中央健康保險署單位預算(法定預算)","1121","35",""
"臺灣高等法院檢察署","臺灣彰化地方法院檢察署年度預算案(按年)","702","48",""
"臺灣高等法院檢察署","臺灣花蓮地方法院檢察署年度預算案(按年)","746","107",""
"臺灣高等法院檢察署","臺灣嘉義地方法院檢察署年度預算案(按年)","836","80",""
"公務員懲戒委員會","公務員懲戒委員會104年度單位預算(預算案)","1293","152",""
"臺灣高等法院檢察署","臺灣南投地方法院檢察署年度預算案(按年)","837","43",""
"經濟部水利署","水利署及所屬法定預算","1290","209","5.0"
"經濟部水利署","水利署及所屬預算案","1595","352","5.0"
"臺灣高等法院檢察署","臺灣新竹地方法院檢察署年度法定預算(按年)","853","30",""
"臺灣雲林地方法院","臺灣雲林地方法院104年度預算","1166","36",""
"經濟部水利署","水資源作業基金預算案","1607","357","3.6"
"臺灣高等法院檢察署","臺灣雲林地方法院檢察署年度法定預算(按年)","590","30",""
"行政院農業委員會","104年度行政院農業委員會農糧署及所屬單位預算","694","32",""
"衛生福利部疾病管制署","104年度預防接種受害救濟基金預算案預算書","1126","130",""
"臺灣高等法院檢察署","臺灣新竹地方法院檢察署年度預算案(按年)","801","63",""
"臺灣高等法院檢察署","臺灣桃園地方法院檢察署年度預算案(按年)","902","65",""
"臺灣高等法院檢察署","臺灣雲林地方法院檢察署年度預算案(按年)","870","53",""
"臺灣高等法院檢察署","臺灣臺東地方法院檢察署年度預算案(按年)","683","53",""
"臺灣高等法院檢察署","臺灣臺北地方法院檢察署年度預算案(按年)","792","51",""
"勞動部勞動力發展署","勞動部勞動力發展署及所屬預算概況","1426","290","2.0"
"財政部國庫署","國庫經辦行通訊錄一覽表","1242","59",""
"臺灣高等法院檢察署","臺灣高等法院花蓮分院檢察署年度法定預算(按年)","724","35",""
"臺灣高等法院檢察署","臺灣高等法院花蓮分院檢察署年度預算案(按年)","784","60",""
"經濟部礦務局","經濟部礦務局_年度法定預算","1215","364",""
"經濟部中小企業處","經濟部中小企業處_單位預算","986","93","3.0"
"衛生福利部會計處","104年度健康照護基金附屬單位預算案 ","1029","91",""
"衛生福利部會計處","104年度醫療發展基金附屬單位預算案","1130","87",""
"衛生福利部會計處","104年度全民健康保險紓困基金附屬單位預算案","1145","70",""
"衛生福利部會計處","104年度藥害救濟基金附屬單位預算案","1139","94",""
"衛生福利部會計處","104年度菸害防制及衛生保健基金附屬單位預算案","990","83",""
"衛生福利部會計處","104年度預防接種受害救濟基金附屬單位預算案","702","57",""
"衛生福利部會計處","104年度疫苗基金附屬單位預算案","845","55",""
"衛生福利部會計處","104年度食品安全保護基金附屬單位預算案","950","73",""
"行政院農業委員會","105年度行政院農業委員會臺中區農業改良場會計報告","849","36",""
"臺灣南投地方法院","臺灣南投地方法院104年度單位預算(預算案)","1019","44",""
"原住民族委員會","104原住民族委員會法定預算","899","44",""
"經濟部中小企業處","經濟部中小企業處_單位決算","1021","63",""
"原住民族委員會","原住民族委員會文化園區管理局104年度法定預算","780","34",""
"行政院農業委員會","104年度行政院農業委員會花蓮區農業改良場單位預算","641","40",""
"國立海洋生物博物館","國立海洋生物博物館104年度法定預算","868","100",""
"銓敘部","銓敘部104年度法定預算","1505","89",""
"行政院農業委員會","104年度行政院農業委員會農業試驗所單位預算","952","48",""
"行政院人事行政總處公務人力發展中心","行政院人事行政總處公務人力發展中心103年各項訓練研習成果統計彙總表","1116","52",""
"衛生福利部中醫藥司","中醫醫療機構負責醫師訓練管理系統","2243","78","5.0"
"衛生福利部社會及家庭署","衛生福利部社會及家庭署104年度法定預算","1368","35",""
"行政院農業委員會","106年度行政院農業委員會農業金融局單位預算","801","81",""
"衛生福利部社會及家庭署","衛生福利部社會及家庭署104年度預算案","1037","29",""
"公務人員退休撫卹基金管理委員會","公務人員退休撫卹基金管理委員會-104法定預算(XML)","1282","51",""
"國立自然科學博物館","國立自然科學博物館104年度預算案","1012","54",""
"國史館","國史館104年度預算案","1268","197","5.0"
"行政院農業委員會","104年度行政院農業委員會農業金融局單位預算","854","105",""
"臺灣彰化地方法院","104年度臺灣彰化地方法院單位預算","1072","33",""
"臺灣彰化地方法院","104年度臺灣彰化地方法院單位預算案","940","25",""
"國軍退除役官兵輔導委員會","國軍退除役官兵輔導委員會104年度公務預算","1169","55",""
"國家發展委員會","政府一、二級機關(含地方政府)全球資訊網網址","1477","207",""
"國軍退除役官兵輔導委員會","國軍退除役官兵輔導委員會104年度安置基金預算","923","27",""
"監察院","監察院104年度單位預算案","1158","50",""
"銓敘部","銓敘部104年度預算案","1406","119",""
"國軍退除役官兵輔導委員會","國軍退除役官兵輔導委員會104年度醫療基金預算","981","40",""
"法官學院","104年度法官學院單位預算","1176","73",""
"臺灣屏東地方法院","臺灣屏東地方法院104年度預算案","790","54",""
"公務人員退休撫卹基金管理委員會","公務人員退休撫卹基金管理委員會104年度單位預算案 ","1154","28",""
"臺灣屏東地方法院","臺灣屏東地方法院104年度法定預算","782","56",""
